,Geography,Year,Gender,Age,Value
10675,City of Melbourne,2025,Total,Age 0-4,8220.0
11052,Carlton,2025,Total,Age 0-4,740.0
11430,Docklands,2025,Total,Age 0-4,1182.0
11808,East Melbourne,2025,Total,Age 0-4,204.0
12186,Kensington,2025,Total,Age 0-4,1090.0
12564,Melbourne (CBD),2025,Total,Age 0-4,1598.0
12942,Melbourne (Remainder),2025,Total,Age 0-4,68.0
13320,North Melbourne,2025,Total,Age 0-4,932.0
13698,Parkville,2025,Total,Age 0-4,689.0
14076,Port Melbourne,2025,Total,Age 0-4,0.0
14454,South Yarra,2025,Total,Age 0-4,177.0
14832,Southbank,2025,Total,Age 0-4,1118.0
15210,West Melbourne (Industrial),2025,Total,Age 0-4,0.0
15588,West Melbourne (Residential),2025,Total,Age 0-4,422.0
