,Geography,Year,Gender,Age04,Total
10675,City of Melbourne,2025,Total,8220,218669
11052,Carlton,2025,Total,740,25288
11430,Docklands,2025,Total,1182,18980
11808,East Melbourne,2025,Total,204,7299
12186,Kensington,2025,Total,1090,13135
12564,Melbourne (CBD),2025,Total,1598,66138
12942,Melbourne (Remainder),2025,Total,68,3955
13320,North Melbourne,2025,Total,932,21615
13698,Parkville,2025,Total,689,11894
14076,Port Melbourne,2025,Total,0,3
14454,South Yarra,2025,Total,177,5437
14832,Southbank,2025,Total,1118,34843
15210,West Melbourne (Industrial),2025,Total,0,0
15588,West Melbourne (Residential),2025,Total,422,10083
